# Effective stiffness matrix C_ij (Voigt)
# RVE: BTEN_z85_s1, L=0.5, applied_strain=0.01
,11,22,33,12,13,23
11,1.128482e+10,5.504680e+09,5.530080e+09,1.410733e+07,4.504248e+06,-2.181552e+06
22,5.504680e+09,1.127082e+10,5.528398e+09,8.146692e+06,1.037336e+06,1.737566e+06
33,5.530080e+09,5.528398e+09,1.185465e+10,5.620477e+06,-2.073157e+06,1.947514e+06
12,1.410733e+07,8.146692e+06,5.620477e+06,2.889876e+09,-8.924074e+05,1.007358e+06
13,4.504248e+06,1.037336e+06,-2.073157e+06,-8.924074e+05,2.959394e+09,9.127504e+06
23,-2.181552e+06,1.737566e+06,1.947514e+06,1.007358e+06,9.127504e+06,2.950348e+09

# Stress tensors per load case
load_case,S_11,S_22,S_33,S_12,S_13,S_23
utx,7.720361e+07,3.954432e-03,3.891875e-03,7.135920e+04,6.943015e+04,-3.058485e+04
uty,-2.644640e-03,7.709336e+07,-1.230985e-03,-9.467865e+03,1.572405e+03,1.255437e+04
utz,-2.057924e-03,-7.775575e-04,8.211274e+07,-2.248613e+04,-5.531453e+04,1.679333e+04
ss12,8.359274e+04,2.336445e+04,1.339760e+04,2.889868e+07,-1.173562e+04,1.282160e+04
ss13,6.576564e+04,1.521008e+04,-2.814804e+04,-1.173562e+04,2.959386e+07,5.707479e+04
ss23,-2.440001e+04,7.734533e+03,1.120468e+04,1.282160e+04,5.707479e+04,2.950337e+07

# Strain tensors per load case
load_case,E_11,E_22,E_33,E_12,E_13,E_23
utx,9.738666e-03,-3.366933e-03,-3.095495e-03,-3.610400e-06,7.375444e-06,2.114265e-06
uty,-3.359760e-03,9.747165e-03,-3.094771e-03,-5.500647e-06,-9.671221e-07,-1.774684e-06
utz,-3.291886e-03,-3.298104e-03,9.787797e-03,-3.332305e-07,-5.533621e-06,-1.201793e-06
ss12,-5.068727e-06,-4.638228e-06,-1.115828e-06,9.759775e-03,-8.880322e-07,5.443386e-07
ss13,2.717818e-06,3.865134e-07,-1.918982e-06,-1.033834e-06,9.780129e-03,-1.127611e-05
ss23,9.010549e-09,-9.192824e-07,-5.873820e-07,1.345539e-06,-1.186714e-05,9.781047e-03
