# Effective stiffness matrix C_ij (Voigt)
# RVE: CTEN_z15, L=0.5, applied_strain=0.01
,11,22,33,12,13,23
11,1.255911e+10,5.953044e+09,5.954877e+09,7.319010e+05,5.254866e+06,-2.767574e+06
22,5.953044e+09,1.256072e+10,5.954798e+09,2.432184e+06,1.459830e+06,-1.680528e+06
33,5.954877e+09,5.954798e+09,1.254913e+10,-7.870616e+04,8.868137e+04,-2.172729e+06
12,7.319010e+05,2.432184e+06,-7.870616e+04,3.277851e+09,-3.249099e+06,1.019043e+06
13,5.254866e+06,1.459830e+06,8.868137e+04,-3.249099e+06,3.282634e+09,-5.138954e+04
23,-2.767574e+06,-1.680528e+06,-2.172729e+06,1.019043e+06,-5.138954e+04,3.280725e+09

# Stress tensors per load case
load_case,S_11,S_22,S_33,S_12,S_13,S_23
utx,8.728726e+07,-2.720538e-03,3.213713e-04,-1.385510e+04,6.265733e+04,-2.316870e+04
uty,4.934241e-04,8.730239e+07,7.819117e-04,4.632969e+04,-8.965178e+02,1.981916e+04
utz,3.068538e-03,2.542888e-03,8.718288e+07,-1.254626e+04,-2.693516e+04,-8.828706e+03
ss12,3.935763e+03,4.924832e+04,4.940513e+03,3.277851e+07,-3.394269e+04,1.958280e+04
ss13,7.228033e+04,2.443438e+04,4.869164e+03,-3.394269e+04,3.282635e+07,2.223956e+03
ss23,-2.624859e+04,6.115559e+03,-1.545021e+04,1.958281e+04,2.223955e+03,3.280725e+07

# Strain tensors per load case
load_case,E_11,E_22,E_33,E_12,E_13,E_23
utx,9.715917e-03,-3.212605e-03,-3.220947e-03,-4.283130e-06,4.256052e-06,-2.486758e-06
uty,-3.212860e-03,9.719926e-03,-3.220155e-03,7.547888e-06,2.982970e-07,6.396691e-06
utz,-3.216964e-03,-3.216504e-03,9.716085e-03,-7.545951e-07,-2.511447e-06,-8.985844e-07
ss12,-1.464940e-06,2.694984e-06,-3.589528e-08,9.732292e-03,-3.193330e-07,3.050946e-06
ss13,1.877688e-06,3.360688e-07,-4.024050e-07,-5.658906e-07,9.732796e-03,8.956048e-07
ss23,-8.807848e-07,2.311221e-06,-1.067833e-09,2.676562e-06,7.775314e-07,9.734511e-03
