# Effective stiffness matrix C_ij (Voigt)
# RVE: CTEN_z45, L=0.5, applied_strain=0.01
,11,22,33,12,13,23
11,1.276259e+10,6.031729e+09,6.051330e+09,-1.903303e+06,3.218668e+05,8.987258e+04
22,6.031729e+09,1.275789e+10,6.049759e+09,-1.848807e+06,8.117888e+05,1.301173e+06
33,6.051330e+09,6.049759e+09,1.284157e+10,-3.167102e+04,-1.031306e+06,-1.961720e+04
12,-1.903303e+06,-1.848807e+06,-3.167102e+04,3.346561e+09,3.467371e+04,6.242370e+05
13,3.218668e+05,8.117888e+05,-1.031306e+06,3.467371e+04,3.357013e+09,3.335516e+05
23,8.987258e+04,1.301173e+06,-1.961720e+04,6.242370e+05,3.335516e+05,3.357021e+09

# Stress tensors per load case
load_case,S_11,S_22,S_33,S_12,S_13,S_23
utx,8.889796e+07,2.317993e-03,6.327027e-05,-2.962722e+04,1.524472e+04,2.519394e+03
uty,5.639157e-05,8.886904e+07,3.719429e-04,2.782047e+03,3.575105e+03,5.103480e+03
utz,-9.288828e-04,-1.291719e-03,8.945319e+07,1.471279e+04,-1.442677e+04,-1.435691e+04
ss12,-3.105081e+04,-6.645359e+03,2.315595e+03,3.346561e+07,1.585533e+03,4.074320e+03
ss13,1.466725e+04,5.878828e+03,-7.669302e+03,1.585533e+03,3.357013e+07,3.269436e+03
ss23,-2.900199e+03,-9.553136e+02,-1.562493e+04,4.074317e+03,3.269436e+03,3.357021e+07

# Strain tensors per load case
load_case,E_11,E_22,E_33,E_12,E_13,E_23
utx,9.702058e-03,-3.210232e-03,-3.199626e-03,-4.519410e-06,2.961512e-06,1.680344e-06
uty,-3.209729e-03,9.701231e-03,-3.198663e-03,4.885711e-06,-2.038391e-06,-2.375921e-06
utz,-3.219973e-03,-3.219729e-03,9.727374e-03,1.248767e-06,-2.715347e-07,-3.139726e-06
ss12,-2.043903e-06,1.526814e-06,1.631739e-07,9.722058e-03,4.609770e-07,-8.003788e-07
ss13,1.429908e-06,-7.565223e-07,1.424694e-08,2.784345e-07,9.729787e-03,-2.340348e-09
ss23,6.432305e-07,-8.464470e-07,-9.894151e-07,-4.936295e-07,-3.696917e-08,9.731853e-03
