# Effective stiffness matrix C_ij (Voigt)
# RVE: BTEN_z95_s4, L=0.5, applied_strain=0.01
,11,22,33,12,13,23
11,9.755497e+09,4.830249e+09,4.872267e+09,-2.278060e+07,2.818625e+06,-2.943147e+06
22,4.830249e+09,9.746794e+09,4.876288e+09,2.327971e+07,-6.161159e+05,-9.021161e+05
33,4.872267e+09,4.876288e+09,1.062388e+10,1.761963e+05,3.198808e+06,-1.740136e+06
12,-2.278060e+07,2.327971e+07,1.761963e+05,2.392768e+09,-2.816453e+06,-8.773355e+03
13,2.818625e+06,-6.161159e+05,3.198808e+06,-2.816453e+06,2.558587e+09,1.196476e+06
23,-2.943147e+06,-9.021161e+05,-1.740136e+06,-8.773355e+03,1.196476e+06,2.562918e+09

# Stress tensors per load case
load_case,S_11,S_22,S_33,S_12,S_13,S_23
utx,6.624880e+07,8.990507e-06,-3.760774e-05,-2.772438e+05,-3.242406e+03,-1.872248e+04
uty,1.211061e-03,6.613946e+07,1.457579e-03,2.437565e+05,-2.048317e+04,2.644791e+03
utz,-7.198704e-04,1.372868e-03,7.365127e+07,-1.704361e+03,2.823527e+04,5.267686e+03
ss12,-2.317031e+05,1.533510e+05,-2.811889e+04,2.392726e+07,-2.566077e+04,-5.660886e+03
ss13,-9.237678e+02,-1.363729e+04,2.323178e+04,-2.566076e+04,2.558586e+07,-4.389344e+03
ss23,-2.259734e+04,-6.803902e+03,-4.788673e+03,-5.660885e+03,-4.389344e+03,2.562917e+07

# Strain tensors per load case
load_case,E_11,E_22,E_33,E_12,E_13,E_23
utx,9.659445e-03,-3.457843e-03,-3.001549e-03,1.117640e-05,-8.407539e-06,2.304464e-06
uty,-3.445724e-03,9.674716e-03,-3.006559e-03,-1.612197e-05,3.346280e-06,-9.888869e-07
utz,-3.334597e-03,-3.351672e-03,9.723486e-03,-2.057215e-08,1.056841e-06,3.152004e-06
ss12,5.626083e-06,-1.474270e-05,-4.547720e-07,9.669335e-03,1.344358e-06,-1.909619e-06
ss13,-3.972445e-06,2.415497e-07,5.877316e-07,6.020402e-07,9.686892e-03,-6.482336e-06
ss23,-1.981007e-07,-7.616970e-07,1.541962e-06,-2.615251e-06,-6.300083e-06,9.725974e-03
