run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_eff,nu_eff,G_eff,D_rve
TORH_L240,0.24,0.033,Composite,9.3922e+09,0.33,0.0,0.040,0.0,0.0,2.2e9,0.65,Gmsh,Lesicar,Z,No,0,9392200016.293692,0.3299999994412061,1.0773552050480362e-09,0.013823999985106639,0.0,1.0773552050480362e-09,9392200016.293692,0.3299999994412061,MISSING,MISSING
TORH_L320,0.32,0.033,Composite,9.3922e+09,0.33,0.0,0.040,0.0,0.0,2.2e9,0.65,Gmsh,Lesicar,Z,No,0,9392199548.39852,0.32999998100102024,-9.724450134029894e-10,0.032768000031865085,0.0,-9.724450134029894e-10,9392199548.39852,0.32999998100102024,MISSING,MISSING
TORH_L400,0.40,0.033,Composite,9.3922e+09,0.33,0.0,0.040,0.0,0.0,2.2e9,0.65,Gmsh,Lesicar,Z,No,0,9392200353.836578,0.33000000558793563,1.0891221258191308e-10,0.06399999999302963,0.0,1.0891221258191308e-10,9392200353.836578,0.33000000558793563,MISSING,MISSING
TORH_L480,0.48,0.033,Composite,9.3922e+09,0.33,0.0,0.040,0.0,0.0,2.2e9,0.65,Gmsh,Lesicar,Z,No,0,9392199994.837692,0.32999999944120684,3.865497921751171e-10,0.11059199995725066,0.0,3.865497921751171e-10,9392199994.837692,0.32999999944120684,MISSING,MISSING
TORH_L640,0.64,0.033,Composite,9.3922e+09,0.33,0.0,0.040,0.0,0.0,2.2e9,0.65,Gmsh,Lesicar,Z,No,0,9392199721.699324,0.32999998100102135,-1.048772846345969e-09,0.26214400027492957,0.0,-1.048772846345969e-09,9392199721.699324,0.32999998100102135,MISSING,MISSING
TORH_L800,0.80,0.033,Composite,9.3922e+09,0.33,0.0,0.040,0.0,0.0,2.2e9,0.65,Gmsh,Lesicar,Z,No,0,9392200244.344631,0.3300000055879352,2.545734734127336e-10,0.5119999998696585,0.0,2.545734734127336e-10,9392200244.344631,0.3300000055879352,MISSING,MISSING
