run_id,E_x,E_y,E_z,E_p,inplane_ratio,E_ratio,G_xy,G_xz,G_yz,G_ax,G_ratio,nu_xy,nu_xz,nu_yz
BTEN_z95_s1,4.96138e+09,4.97887e+09,5.29297e+09,4.97013e+09,1.00353,1.06496,1.82667e+09,1.87952e+09,1.83078e+09,1.85515e+09,1.01559,0.355826,0.328478,0.316934
BTEN_z95_s2,4.94804e+09,5.01311e+09,5.17719e+09,4.98057e+09,1.01315,1.03948,1.8182e+09,1.85265e+09,1.87641e+09,1.86453e+09,1.02548,0.346386,0.32699,0.329109
BTEN_z95_s3,4.74063e+09,4.84069e+09,5.07608e+09,4.79066e+09,1.02111,1.05958,1.71397e+09,1.72868e+09,1.83533e+09,1.782e+09,1.03969,0.3434,0.32011,0.32624
BTEN_z95_s4,4.66333e+09,4.72847e+09,4.94314e+09,4.6959e+09,1.01397,1.05265,1.69894e+09,1.73274e+09,1.73468e+09,1.73371e+09,1.02047,0.359109,0.332513,0.323521
BTEN_z95_s5,4.64394e+09,4.68417e+09,4.87168e+09,4.66405e+09,1.00866,1.04452,1.69191e+09,1.71875e+09,1.74668e+09,1.73272e+09,1.02412,0.350131,0.325803,0.326123
