run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_eff,nu_eff,G_eff,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_anisotropy
LCOL_p100_und_s2,0.50,0.0071,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,4186262120.9213,0.2990604157802662,MISSING,4186262120.9213,0.2990604157802662,0.009986798844158207,0.12375165014448022,0.11924412765784445,0.12923092650200266,7879877015.110038,0.3495646606554278,1.8823181127931516
LCOL_p100_und_s3,0.50,0.0071,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,4908594356.357676,0.29435736607990054,MISSING,4908594356.357676,0.29435736607990054,0.010425009139239938,0.12369687385759501,0.11962657479752006,0.13005158393676,7866034256.440591,0.349154500068379,1.6025024040237508
LCOL_p120_drn_s1,0.50,0.0077,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,1485351189.2727468,0.06434449080039038,MISSING,1485351189.2727468,0.06434449080039038,0.01016311951592841,0.12372961006050895,0.14036087231207703,0.15052399182800544,7616682916.458772,0.3253192462995856,5.12786671022092
LCOL_p120_drn_s2,0.50,0.0077,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,1471305661.7361224,0.06369214818298939,MISSING,1471305661.7361224,0.06369214818298939,0.010151490607810287,0.12373106367402371,0.13765758589624547,0.14780907650405575,7699172482.495855,0.3263572026878757,5.232884425531896
LCOL_p120_drn_s3,0.50,0.0077,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,1473679690.518548,0.0631302103719118,MISSING,1473679690.518548,0.0631302103719118,0.01018703118254094,0.12372662110218238,0.13870563855476856,0.1488926697373095,7682421498.790939,0.3228507262385535,5.213087720634667
LCOL_p120_und_s1,0.50,0.0077,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,4288092559.763052,0.29281680649203634,MISSING,4288092559.763052,0.29281680649203634,0.00989010696822823,0.12376373662897147,0.1404177588565866,0.15030786582481484,7665939781.733347,0.35418269417963033,1.7877272178464696
LCOL_p120_und_s2,0.50,0.0077,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,3548517188.4040375,0.309424530700614,MISSING,3548517188.4040375,0.309424530700614,0.00989671371694334,0.12376291078538208,0.13809223070385404,0.14798894442079738,7689117132.757655,0.3543054972214965,2.166853568550945
LCOL_p120_und_s3,0.50,0.0077,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,3812266488.0166907,0.2961622937039159,MISSING,3812266488.0166907,0.2961622937039159,0.010101580424370704,0.12373730244695366,0.13823485009568762,0.14833643052005832,7687259339.329811,0.3539730617174256,2.016453824383369
LCOL_p150_drn_s1,0.50,0.0087,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,916499487.9307389,0.040003967905330506,MISSING,916499487.9307389,0.040003967905330506,0.01001411134204866,0.12374823608224392,0.1678364986308157,0.17785060997286437,7418346243.154139,0.3258537818722438,8.094217553687006
LCOL_p150_drn_s2,0.50,0.0087,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,930705692.8743676,0.04129077356976314,MISSING,930705692.8743676,0.04129077356976314,0.009960340398704526,0.12375495745016193,0.16687717400566254,0.17683751440436707,7425911460.85684,0.32678886885198044,7.978796646147984
LCOL_p150_drn_s3,0.50,0.0087,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,932548897.6284505,0.041155944134310125,MISSING,932548897.6284505,0.041155944134310125,0.01048187706803938,0.12368976536649508,0.16684750017275682,0.1773293772407962,7437571129.60691,0.33271920876691524,7.975529378160515
LCOL_p150_und_s1,0.50,0.0087,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,3414010307.193824,0.2767311964562662,MISSING,3414010307.193824,0.2767311964562662,0.010071029168289058,0.12374112135396387,0.16817584211974435,0.1782468712880334,7424816661.713934,0.3594919702868825,2.174807921952886
LCOL_p150_und_s2,0.50,0.0087,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,3001488346.4611044,0.2892962752775943,MISSING,3001488346.4611044,0.2892962752775943,0.010441345934642632,0.12369483175816967,0.16564420801039195,0.17608555394503458,7461532692.721165,0.3597467117597666,2.485944248798654
LCOL_p150_und_s3,0.50,0.0087,Composite,9.37e9,0.33,0.0325,0.030,0.0100,0.0225,2.2e9,0.85,Gmsh,Lesicar,Z,No,0.0,3346266023.023182,0.3010867187863369,MISSING,3346266023.023182,0.3010867187863369,0.009959418505525397,0.12375507268680933,0.16893762858776346,0.17889704709328885,7429762055.864628,0.3588549836587096,2.2203142262886244
