run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
SEAS_w12_z75,0.50,0.033,Composite,9.3903e+09,0.33,0.0495,0.042,0.014,0.0355,2.2e9,0.67,Gmsh,Lesicar,Z,Yes,0.0237,7430395640.525261,0.333098720969379,7623490880.239543,0.3346765208039024,7430395640.525261,0.333098720969379,MISSING,1.0259872083609038
SEAS_w12_z85,0.50,0.033,Composite,9.3772e+09,0.33,0.0683,0.044,0.0132,0.0551,2.2e9,0.64,Gmsh,Lesicar,Z,Yes,0.0367,6436684093.965346,0.3385312022730387,6747651940.652847,0.3406753312039194,6436684093.965346,0.3385312022730387,MISSING,1.0483118080906046
SEAS_w12_z95,0.50,0.033,Composite,9.3640e+09,0.33,0.1172,0.045,0.0124,0.1048,2.2e9,0.61,Gmsh,Lesicar,Z,Yes,0.0698,4213591114.878746,0.3621244504522463,4462435299.469153,0.3661776558336468,4213591114.878746,0.3621244504522463,MISSING,1.0590575064846006
SEAS_w06_z05,0.50,0.033,Composite,9.4089e+09,0.33,0.0575,0.031,0.0196,0.0379,2.2e9,0.85,Gmsh,Lesicar,Z,Yes,0.0253,7858141082.535987,0.33182274908649684,8083607872.521326,0.33378802870155905,7858141082.535987,0.33182274908649684,MISSING,1.0286921280258532
SEAS_w06_z15,0.50,0.033,Composite,9.4035e+09,0.33,0.0508,0.032,0.0188,0.032,2.2e9,0.82,Gmsh,Lesicar,Z,Yes,0.0213,7906636877.321001,0.33105647729198995,8138699058.7436905,0.3345306949337863,7906636877.321001,0.33105647729198995,MISSING,1.0293503021604957
SEAS_w06_z25,0.50,0.033,Composite,9.3981e+09,0.33,0.0481,0.034,0.018,0.0301,2.2e9,0.79,Gmsh,Lesicar,Z,Yes,0.0201,7878038983.272095,0.3309847494749402,8096381870.7382965,0.3341695463942995,7878038983.272095,0.3309847494749402,MISSING,1.0277153855077161
SEAS_w06_z35,0.50,0.033,Composite,9.3926e+09,0.33,0.048,0.036,0.0172,0.0308,2.2e9,0.77,Gmsh,Lesicar,Z,Yes,0.0205,7627692923.380276,0.3317977389615754,7864047258.237101,0.3355238459000668,7627692923.380276,0.3317977389615754,MISSING,1.0309863463606874
SEAS_w06_z45,0.50,0.033,Composite,9.3872e+09,0.33,0.0486,0.037,0.0164,0.0322,2.2e9,0.74,Gmsh,Lesicar,Z,Yes,0.0215,7779249793.300936,0.3326520978942932,8035977421.522769,0.33372467809176143,7779249793.300936,0.3326520978942932,MISSING,1.0330015920613467
SEAS_w06_z55,0.50,0.033,Composite,9.3818e+09,0.33,0.0514,0.039,0.0156,0.0358,2.2e9,0.72,Gmsh,Lesicar,Z,Yes,0.0238,7664888486.725747,0.3327950023288908,7900028061.167005,0.3338301992511902,7664888486.725747,0.3327950023288908,MISSING,1.0306774945060817
SEAS_w06_z65,0.50,0.033,Composite,9.3764e+09,0.33,0.0569,0.040,0.0148,0.0421,2.2e9,0.69,Gmsh,Lesicar,Z,Yes,0.028,7077449574.736984,0.33519246960408333,7377298350.667407,0.33797907805082894,7077449574.736984,0.33519246960408333,MISSING,1.0423667837918247
SEAS_w06_z75,0.50,0.033,Composite,9.3710e+09,0.33,0.0673,0.042,0.014,0.0533,2.2e9,0.67,Gmsh,Lesicar,Z,Yes,0.0356,6590278373.011622,0.3391787984551191,6926998848.26268,0.3401337851148428,6590278373.011622,0.3391787984551191,MISSING,1.0510935132315486
SEAS_w06_z85,0.50,0.033,Composite,9.3655e+09,0.33,0.0879,0.044,0.0132,0.0747,2.2e9,0.64,Gmsh,Lesicar,Z,Yes,0.0499,5638828737.370124,0.34495674092672296,5937540602.693048,0.3463305400757621,5638828737.370124,0.34495674092672296,MISSING,1.0529740978553357
SEAS_w06_z95,0.50,0.033,Composite,9.3601e+09,0.33,0.1324,0.045,0.0124,0.12,2.2e9,0.61,Gmsh,Lesicar,Z,Yes,0.08,3871774818.486657,0.36677821800467486,4196720892.070068,0.37032778995529264,3871774818.486657,0.36677821800467486,MISSING,1.0839269040213504
