run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_y,nu_y,E_z,nu_z,G_xy,G_xz,G_yz,E_eff,nu_eff,G_eff,E_anisotropy,E_z_over_xy
MSHC_m050,0.50,0.050,Composite,9.42e9,0.33,0.053,0.041,0.012,0.041,2.2e9,0.72,Gmsh,Lesicar,Z,No,0,8652457846.088285,0.33062672570197926,0.011989019928812183,0.12350137250889848,0.04014075352117885,0.052129773449991035,8646478323.349714,0.33054729558166773,8732569177.670244,0.33186733740792074,3254710880.263965,3269463969.282813,3268317287.6693974,8652457846.088285,0.33062672570197926,3269463969.282813,1.0099567536170238,1.009607653573294
MSHC_m033,0.50,0.033,Composite,9.42e9,0.33,0.053,0.041,0.012,0.041,2.2e9,0.72,Gmsh,Lesicar,Z,No,0,8573321321.53768,0.3308229887123779,0.01670282857283567,0.12291214642839554,0.03653973099459762,0.05324255956743329,8592674386.128376,0.33047763689140947,8685887059.036238,0.3321065523120009,3222831338.311066,3254841896.2459245,3244475954.7105536,8573321321.53768,0.3308229887123779,3254841896.2459245,1.0131297700479012,1.0119875604020174
MSHC_m022,0.50,0.022,Composite,9.42e9,0.33,0.053,0.041,0.012,0.041,2.2e9,0.72,Gmsh,Lesicar,Z,No,0,8556972205.258021,0.33070242636190117,0.015241970806505245,0.12309475364918684,0.03748432933414847,0.052726300140653715,8554128417.194315,0.33058222012432414,8696467834.430182,0.33256467375707244,3219291431.436005,3248505916.2071652,3244732408.8395996,8556972205.258021,0.33070242636190117,3248505916.2071652,1.0166398504083427,1.0164708894317538
MSHC_m015,0.50,0.015,Composite,9.42e9,0.33,0.053,0.041,0.012,0.041,2.2e9,0.72,Gmsh,Lesicar,Z,No,0,8542700410.797098,0.3311050619546153,0.012106200434401027,0.12348672494569987,0.04068211862128912,0.05278831905569015,8535969510.629174,0.33088165083715365,8678460257.981031,0.3328141001653776,3204357417.3349056,3237667507.918764,3231156892.457693,8542700410.797098,0.3311050619546153,3237667507.918764,1.016692977543374,1.0162922871520987
