run_id,L,alpha,R_RPK,K_rve,V_solid
TORLH_L240,0.24,0.11,51422.8,467480,0.013824
TORLH_L360,0.36,0.11,390492,3.54993e+06,0.046656
TORLH_L480,0.48,0.11,1.64553e+06,1.49594e+07,0.110592
TORLH_L600,0.6,0.11,5.02176e+06,4.56523e+07,0.216
TORLH_L720,0.72,0.11,1.24957e+07,1.13598e+08,0.373248
