run_id,phi_inclusion,bridge_fraction,n_bridges,E_x_GPa,n_exponent,solved_on
N4_SUBC_p075_drn_s1,0.07646,0.3876,4,4.4147,0.6104,local
N4_SUBC_p082_drn_s1,0.08206,0.3597,4,4.1351,0.6194,local
N4_SUBC_p088_drn_s1,0.08840,0.3367,4,3.8863,0.6276,local
N4_RAMP_p092_drn_s1,0.09294,0.3218,4,3.6028,0.6616,local
N4_LCOL_p080_drn_s1,0.09998,0.3675,4,4.1978,0.5828,roihu
