run_id,E_x,E_y,E_z,E_p,inplane_ratio,E_ratio,G_xy,G_xz,G_yz,G_ax,G_ratio,nu_xy,nu_xz,nu_yz
BT80_z95_s1,2.89427e+09,2.85142e+09,2.99323e+09,2.87285e+09,0.985194,1.04191,1.03966e+09,1.0654e+09,1.05108e+09,1.05824e+09,1.01787,0.225772,0.207156,0.208447
BT80_z95_s2,2.96793e+09,2.97865e+09,3.10738e+09,2.97329e+09,1.00361,1.0451,1.10964e+09,1.10472e+09,1.11466e+09,1.10969e+09,1.00005,0.223355,0.203732,0.206842
BT80_z95_s3,2.92768e+09,2.96635e+09,3.05301e+09,2.94702e+09,1.01321,1.03597,1.07615e+09,1.07299e+09,1.08779e+09,1.08039e+09,1.00394,0.221563,0.20651,0.208535
BT80_z95_s4,2.9372e+09,2.93571e+09,3.07485e+09,2.93645e+09,0.999494,1.04713,1.06836e+09,1.09482e+09,1.07617e+09,1.0855e+09,1.01604,0.224294,0.206781,0.205539
BT80_z95_s5,2.97231e+09,2.93948e+09,3.10584e+09,2.9559e+09,0.988956,1.05073,1.06739e+09,1.09694e+09,1.10595e+09,1.10144e+09,1.0319,0.223557,0.204622,0.207207
