run_id,nlgeom,eps,sigma
NLGLIN_z25,OFF,0.0,0.0
NLGLIN_z25,OFF,0.0010000000474974513,8883585.0
NLGLIN_z25,OFF,0.0020000000949949026,17767170.0
NLGLIN_z25,OFF,0.0035000001080334187,31092546.0
NLGLIN_z25,OFF,0.005499999970197678,48859712.0
NLGLIN_z25,OFF,0.007499999832361937,66626876.0
NLGLIN_z25,OFF,0.009499999694526196,84394040.0
NLGLIN_z25,OFF,0.011500000022351742,102161192.0
NLGLIN_z25,OFF,0.013500000350177288,119928352.0
NLGLIN_z25,OFF,0.01549999974668026,137695504.0
NLGLIN_z25,OFF,0.017500000074505806,155462656.0
NLGLIN_z25,OFF,0.019500000402331352,173229808.0
NLGLIN_z25,OFF,0.019999999552965164,177671568.0
NLGLIN_z65,OFF,0.0,0.0
NLGLIN_z65,OFF,0.0010000000474974513,8200281.0
NLGLIN_z65,OFF,0.0020000000949949026,16400560.0
NLGLIN_z65,OFF,0.0035000001080334187,28700978.0
NLGLIN_z65,OFF,0.005499999970197678,45101536.0
NLGLIN_z65,OFF,0.007499999832361937,61502088.0
NLGLIN_z65,OFF,0.009499999694526196,77902632.0
NLGLIN_z65,OFF,0.011500000022351742,94303184.0
NLGLIN_z65,OFF,0.013500000350177288,110703720.0
NLGLIN_z65,OFF,0.01549999974668026,127104264.0
NLGLIN_z65,OFF,0.017500000074505806,143504800.0
NLGLIN_z65,OFF,0.019500000402331352,159905328.0
NLGLIN_z65,OFF,0.019999999552965164,164005440.0
NLGLIN_z95,OFF,0.0,0.0
NLGLIN_z95,OFF,0.0010000000474974513,5161740.5
NLGLIN_z95,OFF,0.0020000000949949026,10323453.0
NLGLIN_z95,OFF,0.0035000001080334187,18066008.0
NLGLIN_z95,OFF,0.005499999970197678,28389390.0
NLGLIN_z95,OFF,0.007499999832361937,38712716.0
NLGLIN_z95,OFF,0.009499999694526196,49035992.0
NLGLIN_z95,OFF,0.011500000022351742,59359208.0
NLGLIN_z95,OFF,0.013500000350177288,69682376.0
NLGLIN_z95,OFF,0.01549999974668026,80005488.0
NLGLIN_z95,OFF,0.017500000074505806,90328544.0
NLGLIN_z95,OFF,0.019500000402331352,100651552.0
NLGLIN_z95,OFF,0.019999999552965164,103231896.0
