run_id,nlgeom,eps,sigma
NLGTEN_z25,ON,0.0,0.0
NLGTEN_z25,ON,0.004000000189989805,36042176.0
NLGTEN_z25,ON,0.00800000037997961,71757568.0
NLGTEN_z25,ON,0.012000000104308128,107150168.0
NLGTEN_z25,ON,0.01600000075995922,142223808.0
NLGTEN_z25,ON,0.019999999552965164,176982336.0
NLGTEN_z25,ON,0.024000000208616257,211429504.0
NLGTEN_z25,ON,0.02800000086426735,245568992.0
NLGTEN_z25,ON,0.02800000086426735,244881264.0
NLGTEN_z65,ON,0.0,0.0
NLGTEN_z65,ON,0.004000000189989805,34933400.0
NLGTEN_z65,ON,0.00800000037997961,69552208.0
NLGTEN_z65,ON,0.012000000104308128,103860200.0
NLGTEN_z65,ON,0.01600000075995922,137861040.0
NLGTEN_z65,ON,0.019999999552965164,171558384.0
NLGTEN_z65,ON,0.019999999552965164,171378736.0
NLGTEN_z95,ON,0.0,0.0
NLGTEN_z95,ON,0.0010000000474974513,6695055.5
NLGTEN_z95,ON,0.0020000000949949026,13376319.0
NLGTEN_z95,ON,0.002374999923631549,15878240.0
NLGTEN_z95,ON,0.002374999923631549,15563404.0
