run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
ORI_rand,0.50,0.033,Composite,9.4374e+09,0.33,0.072,0.035,0.012,0.06,2.2e9,0.60,Gmsh,Lesicar,Random,No,0,7063671079.252813,0.3367156162070415,7034010135.310278,0.3359864966736456,7063671079.252813,0.3367156162070415,MISSING,1.0042167900489138
ORI_Z50,0.50,0.033,Composite,9.4374e+09,0.33,0.072,0.035,0.012,0.06,2.2e9,0.60,Gmsh,Lesicar,Z,No,0,6863915991.362034,0.3382920979200437,6860668184.965089,0.33856534029690727,6863915991.362034,0.3382920979200437,MISSING,1.0004733950556102
ORI_Z90,0.50,0.033,Composite,9.4374e+09,0.33,0.072,0.035,0.012,0.06,2.2e9,0.60,Gmsh,Lesicar,Z,No,0,7006922708.945097,0.33665050829107324,7016713525.595484,0.3369290257219743,7006922708.945097,0.33665050829107324,MISSING,1.0013973062151647
ORI_X50,0.50,0.033,Composite,9.4374e+09,0.33,0.072,0.035,0.012,0.06,2.2e9,0.60,Gmsh,Lesicar,X,No,0,7007785208.435572,0.33729384657390427,7014519614.730026,0.33678540013596336,7007785208.435572,0.33729384657390427,MISSING,1.000960989256113
ORI_X90,0.50,0.033,Composite,9.4374e+09,0.33,0.072,0.035,0.012,0.06,2.2e9,0.60,Gmsh,Lesicar,X,No,0,7123018893.24301,0.3363781710780217,7145722428.284374,0.3369071992039029,7123018893.24301,0.3363781710780217,MISSING,1.0031873473005808
ORI_columnar,0.50,0.033,Composite,9.4374e+09,0.33,0.06,0.035,0.012,0.048,2.2e9,0.65,Gmsh,Lesicar,Z,Yes,0.032,7097953008.347426,0.3349970085716966,7302765261.751755,0.33776853518980954,7097953008.347426,0.3349970085716966,MISSING,1.0288551154344727
ORI_granular,0.50,0.033,Composite,9.4374e+09,0.33,0.092,0.035,0.012,0.08,2.2e9,0.85,Gmsh,Lesicar,Random,No,0,7657161322.169314,0.334413712590525,7657973337.061007,0.33423957315772784,7657161322.169314,0.334413712590525,MISSING,1.0001060464652014
