run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,E_y,nu_y,E_z,nu_z,G_xy,G_xz,G_yz,E_eff,nu_eff,G_eff,E_anisotropy,E_z_over_xy
BTEN_z65,0.50,0.033,Composite,9.4396e+09,0.33,0.0443,0.040,0.0148,0.0295,2.2e9,0.69,Gmsh,Lesicar,Z,No,0,8168731430.147463,0.3327211220201125,8186507059.391155,0.3322554817621354,8178402040.4417,0.3324249113683539,3075374046.5674047,3078657246.2983966,3066482414.4890466,8168731430.147463,0.3327211220201125,3075374046.5674047,1.0021760574938343,1.0000957241525879
BTEN_z75,0.50,0.033,Composite,9.4161e+09,0.33,0.0554,0.042,0.014,0.0414,2.2e9,0.67,Gmsh,Lesicar,Z,No,0,7650386688.584765,0.3348160177650227,7616475441.4148655,0.334085249214468,7639365610.820786,0.3347668402189534,2863321723.5927424,2869562566.567652,2862583550.585086,7650386688.584765,0.3348160177650227,2863321723.5927424,1.0044523542983552,1.0007774414637975
BTEN_z85,0.50,0.033,Composite,9.3926e+09,0.33,0.0542,0.044,0.0132,0.041,2.2e9,0.64,Gmsh,Lesicar,Z,Yes,0.0273,7273194006.908152,0.3349908153308354,7233448179.9432955,0.3346069711975456,7464100523.33543,0.3364926404988057,2721800896.0981555,2736429064.6715436,2732010543.3303394,7273194006.908152,0.3349908153308354,2721800896.0981555,1.0318869144637934,1.029059713087947
BTEN_z95,0.50,0.033,Composite,9.3692e+09,0.33,0.1021,0.045,0.0124,0.0897,2.2e9,0.61,Gmsh,Lesicar,Z,Yes,0.0598,5062171483.205373,0.35226087057989997,4974408656.931681,0.35195992953225946,5269753749.344533,0.35487534905526774,1839000207.678881,1870585196.4268584,1866450533.9580894,5062171483.205373,0.35226087057989997,1839000207.678881,1.0593729049585217,1.0501094348403364
