run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion
CH_m10_r2,0.50,0.033,Composite,9.49e9,0.33,0.10,0.04,0.01,Uniaxial Tension X,0.005,Simple Shear S13,0.005,0.03,0.07,2.2e9,0.48,0.7,0.1,0.002,200000,OFF,Gmsh,0.10,xz,Lesicar,Yes,0.04,0.012,0.003,Z,0.6,Liquid,2200000000.0,440029.33528897085
BN_soft_r1,0.45,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0045,Simple Shear S13,0.0045,0.10,0.10,0.5e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,4402935.290193466
BN_soft_r2,0.45,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0045,Simple Shear S13,0.0045,0.10,0.10,0.5e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,4402935.290193466
BN_med_r1,0.45,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0045,Simple Shear S13,0.0045,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
BN_med_r2,0.45,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0045,Simple Shear S13,0.0045,0.10,0.10,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,44295302.01342286
BN_nu35_r1,0.45,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0045,Simple Shear S13,0.0045,0.10,0.10,2.2e9,0.35,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,733333333.3333334
BN_nu35_r2,0.45,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0045,Simple Shear S13,0.0045,0.10,0.10,2.2e9,0.35,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,733333333.3333334
BN_nu40_r1,0.45,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0045,Simple Shear S13,0.0045,0.10,0.10,2.2e9,0.40,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,471428571.4285714
BN_nu40_r2,0.45,0.033,Composite,9.43e9,0.33,0.20,0.04,0.01,Uniaxial Tension X,0.0045,Simple Shear S13,0.0045,0.10,0.10,2.2e9,0.40,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Liquid,2200000000.0,471428571.4285714
HP_m5_r1,0.40,0.027,Porous,9.43e9,0.33,0.25,0.04,0.01,Uniaxial Tension X,0.004,Simple Shear S13,0.004,0,0,0,0.33,0.85,0.1,0.002,200000,OFF,Gmsh,0.13,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Solid,0,0
HP_m5_r2,0.40,0.027,Porous,9.43e9,0.33,0.30,0.04,0.01,Uniaxial Tension X,0.004,Simple Shear S13,0.004,0,0,0,0.33,0.85,0.1,0.002,200000,OFF,Gmsh,0.13,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Solid,0,0
HP_m5_r3,0.40,0.027,Porous,9.43e9,0.33,0.35,0.04,0.01,Uniaxial Tension X,0.004,Simple Shear S13,0.004,0,0,0,0.33,0.9,0.05,0.002,200000,OFF,Gmsh,0.13,xz,Lesicar,No,0,0.02,0.005,Z,0.4,Solid,0,0
HP_m5_r4,0.40,0.027,Porous,9.43e9,0.33,0.40,0.04,0.01,Uniaxial Tension X,0.004,Simple Shear S13,0.004,0,0,0,0.33,0.95,0.03,0.002,200000,OFF,Gmsh,0.13,xz,Lesicar,No,0,0.02,0.005,Z,0.3,Solid,0,0
