# Effective stiffness matrix C_ij (Voigt)
# RVE: BTEN_z95, L=0.5, applied_strain=0.01
,11,22,33,12,13,23
11,7.911053e+09,4.152264e+09,4.134604e+09,2.738936e+07,4.448888e+06,7.962854e+05
22,4.152264e+09,7.789081e+09,4.113107e+09,5.766585e+07,-1.741134e+07,3.517377e+06
33,4.134604e+09,4.113107e+09,8.103386e+09,3.247864e+07,-8.879370e+06,2.101308e+07
12,2.738936e+07,5.766585e+07,3.247864e+07,1.838867e+09,2.530828e+06,-7.980280e+06
13,4.448888e+06,-1.741134e+07,-8.879370e+06,2.530828e+06,1.870541e+09,1.538736e+07
23,7.962854e+05,3.517377e+06,2.101308e+07,-7.980280e+06,1.538736e+07,1.866398e+09

# Stress tensors per load case
load_case,S_11,S_22,S_33,S_12,S_13,S_23
utx,5.061992e+07,-1.856441e-03,-2.805093e-04,-1.028018e+05,1.708914e+05,-7.751920e+04
uty,7.376252e-04,4.974185e+07,2.949114e-03,3.236764e+05,-1.429725e+05,-2.068711e+04
utz,-1.635763e-03,9.443605e-05,5.269615e+07,-5.864731e+03,-3.861862e+04,2.107687e+05
ss12,1.072533e+05,4.206628e+05,1.787376e+05,1.838965e+07,2.933363e+04,-9.177747e+04
ss13,1.171794e+05,-1.143827e+05,-3.832794e+04,2.933363e+04,1.870560e+07,1.597429e+05
ss23,2.947729e+04,7.114221e+04,2.459002e+05,-9.177747e+04,1.597429e+05,1.866424e+07

# Strain tensors per load case
load_case,E_11,E_22,E_33,E_12,E_13,E_23
utx,9.707247e-03,-3.582751e-03,-3.256533e-03,-8.799672e-05,3.462894e-05,-4.220548e-06
uty,-3.558558e-03,9.672382e-03,-3.250381e-03,-7.226220e-05,2.815100e-05,-3.377549e-06
utz,-3.426701e-03,-3.483698e-03,9.736012e-03,-3.825149e-05,1.559251e-05,6.151132e-06
ss12,6.628044e-06,6.773300e-06,1.160425e-07,9.774909e-03,3.595176e-06,-7.523442e-06
ss13,1.138685e-06,-3.380536e-06,-3.780297e-06,1.135356e-06,9.766312e-03,1.879289e-06
ss23,-2.896154e-07,7.523551e-06,3.781837e-06,-5.897510e-06,4.615286e-06,9.772902e-03
