# Effective stiffness matrix C_ij (Voigt)
# RVE: CTEN_z95, L=0.5, applied_strain=0.01
,11,22,33,12,13,23
11,1.002187e+10,4.995030e+09,5.066533e+09,-6.908280e+07,1.889786e+06,2.002482e+06
22,4.995030e+09,9.935725e+09,5.051797e+09,1.789969e+07,-2.616100e+06,1.202286e+06
33,5.066533e+09,5.051797e+09,1.093332e+10,-1.238318e+07,-1.361780e+06,-6.548751e+05
12,-6.908280e+07,1.789969e+07,-1.238318e+07,2.495207e+09,2.555678e+06,-2.705826e+06
13,1.889786e+06,-2.616100e+06,-1.361780e+06,2.555678e+06,2.630102e+09,-1.684599e+07
23,2.002482e+06,1.202286e+06,-6.548751e+05,-2.705826e+06,-1.684599e+07,2.606261e+09

# Stress tensors per load case
load_case,S_11,S_22,S_33,S_12,S_13,S_23
utx,6.747319e+07,1.131405e-04,6.401952e-04,-7.044223e+05,3.063623e+04,1.740095e+04
uty,1.131454e-03,6.683587e+07,-1.801960e-04,4.347551e+05,-2.766087e+04,4.303084e+03
utz,-1.817635e-04,2.366619e-04,7.514649e+07,5.195005e+04,-1.118973e+04,-1.439951e+04
ss12,-6.918481e+05,1.494083e+05,-1.329040e+05,2.495206e+07,2.652309e+04,-2.560373e+04
ss13,1.690328e+04,-2.609603e+04,-1.440379e+04,2.652309e+04,2.630103e+07,-1.729076e+05
ss23,1.964088e+04,9.940957e+03,-4.267150e+03,-2.560373e+04,-1.729076e+05,2.606266e+07

# Strain tensors per load case
load_case,E_11,E_22,E_33,E_12,E_13,E_23
utx,9.701693e-03,-3.492019e-03,-3.020593e-03,1.101233e-05,-6.323522e-07,4.021968e-07
uty,-3.457982e-03,9.700991e-03,-3.018041e-03,-1.245539e-05,6.700253e-07,-1.684527e-06
utz,-3.364481e-03,-3.392946e-03,9.848711e-03,1.277201e-06,1.125816e-07,8.845586e-07
ss12,-5.808590e-07,-2.382738e-06,2.945472e-07,9.722999e-03,2.683549e-07,2.208716e-07
ss13,-2.393415e-07,2.064391e-08,-6.846335e-08,4.836496e-07,9.764447e-03,-1.523715e-07
ss23,-2.525612e-07,-1.631821e-07,5.023521e-07,9.387236e-07,-3.231162e-06,9.759418e-03
