# Effective stiffness matrix C_ij (Voigt)
# RVE: BT80_z95_s1, L=0.8, applied_strain=0.0062499999999999995
,11,22,33,12,13,23
11,9.704805e+09,4.797148e+09,4.865629e+09,1.256323e+05,2.832858e+06,1.449400e+06
22,4.797148e+09,9.704039e+09,4.860523e+09,1.690295e+07,-8.733643e+05,2.573674e+06
33,4.865629e+09,4.860523e+09,1.066158e+10,6.197649e+06,-3.726344e+06,-3.361632e+06
12,1.256323e+05,1.690295e+07,6.197649e+06,2.458161e+09,4.938453e+05,-1.791223e+06
13,2.832858e+06,-8.733643e+05,-3.726344e+06,4.938453e+05,2.582005e+09,6.349701e+06
23,1.449400e+06,2.573674e+06,-3.361632e+06,-1.791223e+06,6.349701e+06,2.578265e+09

# Stress tensors per load case
load_case,S_11,S_22,S_33,S_12,S_13,S_23
utx,4.122543e+07,4.234803e-04,3.545926e-04,-3.073868e+04,2.459123e+04,2.605231e+03
uty,1.828797e-04,4.124691e+07,4.665735e-05,9.213428e+04,-7.761566e+03,2.798791e+04
utz,-3.404242e-04,-5.158309e-04,4.624958e+07,3.049970e+03,-2.402382e+04,-2.429829e+04
ss12,2.748683e+04,1.180829e+05,5.292387e+04,1.536352e+07,2.104319e+03,-1.460481e+04
ss13,1.439640e+04,-9.450042e+03,-2.231500e+04,2.104319e+03,1.613756e+07,5.079243e+04
ss23,8.740404e+03,2.746893e+04,-1.189055e+04,-1.460482e+04,5.079243e+04,1.611419e+07

# Strain tensors per load case
load_case,E_11,E_22,E_33,E_12,E_13,E_23
utx,6.000419e-03,-2.152831e-03,-1.870746e-03,6.765216e-06,-8.979721e-07,-3.158280e-06
uty,-2.153342e-03,6.000657e-03,-1.866463e-03,-1.519661e-06,-1.549582e-06,3.323298e-06
utz,-2.099298e-03,-2.092837e-03,6.101446e-03,-3.932054e-07,1.358283e-06,1.768570e-06
ss12,2.728567e-06,1.627025e-07,2.665821e-07,6.030961e-03,-3.761777e-07,-1.050445e-06
ss13,-2.828031e-07,-3.525669e-07,4.473102e-07,-3.999368e-07,6.053089e-03,4.277151e-06
ss23,-9.156492e-07,1.361591e-06,8.116420e-07,-1.685805e-06,4.335958e-06,6.052162e-03
