run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,r_std,Mode,Disp,Mode2,Disp2,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,nu_sphere_inclusion,sphericity_avg,sphericity_std,min_distance,max_iterations,nlgeom_flag,PBC_Method,Kappa,Bending_Plane,Bending_PBC_Type,generate_channels,channel_vof_target,r_channel_avg,r_channel_std,Growth_Direction,Growth_Concentration,Inclusion_Type,K_inclusion,G_inclusion
HOMC_m033,0.64,0.033,Composite,9.43e9,0.33,0.0,0.04,0.01,Uniaxial Tension X,0.0064,Simple Shear S13,0.0064,0.0,0.0,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Solid,2200000000.0,44295302.01342286
HOMC_m020,0.64,0.020,Composite,9.43e9,0.33,0.0,0.04,0.01,Uniaxial Tension X,0.0064,Simple Shear S13,0.0064,0.0,0.0,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Solid,2200000000.0,44295302.01342286
HOMC_m012,0.64,0.012,Composite,9.43e9,0.33,0.0,0.04,0.01,Uniaxial Tension X,0.0064,Simple Shear S13,0.0064,0.0,0.0,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Solid,2200000000.0,44295302.01342286
HOMC_m008,0.64,0.008,Composite,9.43e9,0.33,0.0,0.04,0.01,Uniaxial Tension X,0.0064,Simple Shear S13,0.0064,0.0,0.0,2.2e9,0.48,0.75,0.1,0.002,200000,OFF,Gmsh,0.11,xz,Lesicar,No,0,0.02,0.005,Z,0.5,Solid,2200000000.0,44295302.01342286
